ろくな,ろくな
露骨,ろこつ
論議,ろんぎ
論理,ろんり
技,わざ
渡り鳥,わたりどり
ワット,ワット
詫び,わび
和文,わぶん
藁,わら
～割,～わり
我,われ
破棄,はき
剥ぐ,はぐ
薄弱,はくじゃく
白状,はくじょう
爆破,ばくは
暴露,ばくろ
励む,はげむ
剥げる,はげる
化ける,ばける
派遣,はけん
恥,はじ
弾く,はじく
恥じる,はじる
橋渡し,はしわたし
弾む,はずむ
破損,はそん
叩く,はたく
裸足,はだし
果たす,はたす
罰,ばつ
発芽,はつが
バッジ,バッジ
下火,したび
実,じつ
実家,じっか
質疑,しつぎ
失脚,しっきゃく
シック,シック
躾,しつけ
質素,しっそ
失調,しっちょう
嫉妬,しっと
実費,じっぴ
指摘,してき
自転,じてん
助動詞,じょどうし
地主,じぬし
凌ぐ,しのぐ
芝,しば
始発,しはつ
耳鼻科,じびか
私物,しぶつ
司法,しほう
始末,しまつ
染みる,しみる
使命,しめい
地元,じもと
視野,しや
弱,じゃく
ジャズ,ジャズ
若干,じゃっかん
三味線,しゃみせん
砂利,じゃり
ジャンパー,ジャンパー
主,しゅ
種,しゅ
私有,しゆう
収益,しゅうえき
修学,しゅうがく
集計,しゅうけい
襲撃,しゅうげき
終日,しゅうじつ
充実,じゅうじつ
十字路,じゅうじろ
柔軟,じゅうなん
重複,じゅうふく
収容,しゅうよう
従来,じゅうらい
修行,しゅぎょう
塾,じゅく
宿命,しゅくめい
趣旨,しゅし
主食,しゅしょく
出演,しゅつえん
出血,しゅっけつ
出現,しゅつげん
出産,しゅっさん
出社,しゅっしゃ
出生,しゅっせい
比例,ひれい
疲労,ひろう
貧弱,ひんじゃく
ヒント,ヒント
ファン,ファン
不意,ふい
封,ふう
封鎖,ふうさ
風習,ふうしゅう
ブーツ,ブーツ
風土,ふうど
ブーム,ブーム
部下,ぶか
不吉,ふきつ
布巾,ふきん
福祉,ふくし
耽る,ふける
老ける,ふける
富豪,ふごう
布告,ふこく
ブザー,ブザー
負債,ふさい
不在,ふざい
ふさわしい,ふさわしい
不審,ふしん
不振,ふしん
武装,ぶそう
札,ふだ
負担,ふたん
物議,ぶつぎ
復旧,ふっきゅう
物資,ぶっし
不当,ふとう
不動産,ふどうさん
無難,ぶなん
赴任,ふにん
腐敗,ふはい
不服,ふふく
普遍,ふへん
不明,ふめい
部門,ぶもん
扶養,ふよう
振り返る,ふりかえる
ブル,ブル
震わせる,ふるわせる
無礼,ぶれい
